[    5.131348] grsec: mount of none to /proc by /sbin/init[init:1] uid/euid:0/0 gid/egid:0/0, parent /[swapper/0:0] uid/euid:0/0 gid/egid:0/0
[   72.762097] grsec: (default:D:/) use of CAP_SYS_ADMIN denied for /bin/bash[sh:3607] uid/euid:0/0 gid/egid:0/0, parent /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0
[   72.762815] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763150] grsec: (default:D:/) denied link of /root/regression/rbac_fs/nonreadtarget1.txt to /root/regression/rbac_fs/hardlinkfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763244] grsec: (default:D:/) denied open of /root/regression/rbac_fs/glob/writefile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763331] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedreadfile1.txt for writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763362] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedreadfile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763392] grsec: (default:D:/) denied open of /root/regression/rbac_fs/readfile1.txt for writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763488] grsec: (default:D:/) denied open of /root/regression/rbac_fs/readfile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763524] grsec: (default:D:/) denied chmod of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763562] grsec: (default:D:/) denied truncate of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763595] grsec: (default:D:/) denied chmod of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763628] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763659] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763692] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763723] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763754] grsec: (default:D:/) denied truncate of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763788] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763821] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763853] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763885] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.763934] grsec: (default:D:/) denied unlink of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764019] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedreadfile1.txt for writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764049] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedreadfile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764098] grsec: (default:D:/) denied open of /root/regression/rbac_fs/readfile1.txt for writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764129] grsec: (default:D:/) denied open of /root/regression/rbac_fs/readfile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764163] grsec: (default:D:/) denied chmod of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764195] grsec: (default:D:/) denied chmod of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764228] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764276] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/hardlinkedreadfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764344] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764390] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764465] grsec: (default:D:/) denied unlink of /root/regression/rbac_fs/readfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764645] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedwritefile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764675] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedwritefile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764710] grsec: (default:D:/) denied open of /root/regression/rbac_fs/writefile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.764740] grsec: (default:D:/) denied open of /root/regression/rbac_fs/writefile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765085] grsec: (default:D:/) denied unlink of /root/regression/rbac_fs/writefile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765170] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedwritefile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765202] grsec: (default:D:/) denied open of /root/regression/rbac_fs/hardlinkedwritefile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765234] grsec: (default:D:/) denied open of /root/regression/rbac_fs/writefile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
