version	->	version	patches-per-day	patches	num_days	month/year
4.8.8	->	4.8.9:	30.33	91	3	11/2016
4.8.7	->	4.8.8:	9.25	37	4	11/2016
4.8.6	->	4.8.7:	13.80	138	10	10/2016
4.8.5	->	4.8.6:	41.67	125	3	10/2016
4.8.4	->	4.8.5:	27.80	139	5	10/2016
4.8.3	->	4.8.4:	28.50	57	2	10/2016
4.8.2	->	4.8.3:	1.33	4	3	10/2016
4.8.1	->	4.8.2:	4.11	37	9	10/2016
4.8	->	4.8.1:	2.50	10	4	10/2016
4.9.16	->	4.9.17:	31.00	93	3	03/2017
4.9.15	->	4.9.16:	14.67	44	3	03/2017
4.9.14	->	4.9.15:	21.00	63	3	03/2017
4.9.13	->	4.9.14:	11.77	153	13	02/2017
4.9.12	->	4.9.13:	15.50	31	2	02/2017
4.9.11	->	4.9.12:	4.40	22	5	02/2017
4.9.10	->	4.9.11:	11.33	34	3	02/2017
4.9.9	->	4.9.10:	12.00	60	5	02/2017
4.9.8	->	4.9.9:	16.50	66	4	02/2017
4.9.7	->	4.9.8:	17.00	51	3	02/2017
4.9.6	->	4.9.7:	11.00	66	6	01/2017
4.9.5	->	4.9.6:	26.00	130	5	01/2017
4.9.4	->	4.9.5:	29.75	119	4	01/2017
4.9.3	->	4.9.4:	19.67	59	3	01/2017
4.9.2	->	4.9.3:	69.67	209	3	01/2017
4.9.1	->	4.9.2:	58.00	116	2	01/2017
4.9	->	4.9.1:	3.32	83	25	12/2016
4.10.4	->	4.10.5:	21.00	63	3	03/2017
4.10.3	->	4.10.4:	16.00	48	3	03/2017
4.10.2	->	4.10.3:	25.00	75	3	03/2017
4.10.1	->	4.10.2:	12.85	167	13	02/2017
4.10	->	4.10.1:	3.33	20	6	02/2017
